DATE,BAA10YM
1994-09-01,1.52
1994-10-01,1.46
1994-11-01,1.36
1994-12-01,1.29
1995-01-01,1.30
1995-02-01,1.38
1995-03-01,1.50
1995-04-01,1.54
1995-05-01,1.57
1995-06-01,1.73
1995-07-01,1.76
1995-08-01,1.70
1995-09-01,1.73
1995-10-01,1.71
1995-11-01,1.75
1995-12-01,1.78
1996-01-01,1.82
1996-02-01,1.82
1996-03-01,1.76
1996-04-01,1.68
1996-05-01,1.56
1996-06-01,1.49
1996-07-01,1.48
1996-08-01,1.54
1996-09-01,1.52
1996-10-01,1.54
1996-11-01,1.59
1996-12-01,1.59
1997-01-01,1.51
1997-02-01,1.52
1997-03-01,1.49
1997-04-01,1.45
1997-05-01,1.49
1997-06-01,1.53
1997-07-01,1.53
1997-08-01,1.52
1997-09-01,1.49
1997-10-01,1.54
1997-11-01,1.54
1997-12-01,1.51
1998-01-01,1.65
1998-02-01,1.68
1998-03-01,1.67
1998-04-01,1.69
1998-05-01,1.65
1998-06-01,1.63
1998-07-01,1.69
1998-08-01,1.80
1998-09-01,2.28
1998-10-01,2.65
1998-11-01,2.51
1998-12-01,2.58
1999-01-01,2.57
1999-02-01,2.39
1999-03-01,2.30
1999-04-01,2.30
1999-05-01,2.18
1999-06-01,2.12
1999-07-01,2.16
1999-08-01,2.21
1999-09-01,2.28
1999-10-01,2.27
1999-11-01,2.12
1999-12-01,1.91
2000-01-01,1.67
2000-02-01,1.77
2000-03-01,2.11
2000-04-01,2.41
2000-05-01,2.46
2000-06-01,2.38
2000-07-01,2.30
2000-08-01,2.43
2000-09-01,2.55
2000-10-01,2.60
2000-11-01,2.56
2000-12-01,2.78
2001-01-01,2.77
2001-02-01,2.77
2001-03-01,2.95
2001-04-01,2.93
2001-05-01,2.68
2001-06-01,2.69
2001-07-01,2.73
2001-08-01,2.88
2001-09-01,3.30
2001-10-01,3.34
2001-11-01,3.16
2001-12-01,2.96
2002-01-01,2.83
2002-02-01,2.98
2002-03-01,2.83
2002-04-01,2.82
2002-05-01,2.93
2002-06-01,3.02
2002-07-01,3.25
2002-08-01,3.32
2002-09-01,3.53
2002-10-01,3.79
2002-11-01,3.57
2002-12-01,3.42
2003-01-01,3.30
2003-02-01,3.16
2003-03-01,3.14
2003-04-01,2.89
2003-05-01,2.81
2003-06-01,2.86
2003-07-01,2.64
2003-08-01,2.56
2003-09-01,2.52
2003-10-01,2.44
2003-11-01,2.36
2003-12-01,2.33
2004-01-01,2.29
2004-02-01,2.19
2004-03-01,2.28
2004-04-01,2.11
2004-05-01,2.03
2004-06-01,2.05
2004-07-01,2.12
2004-08-01,2.18
2004-09-01,2.14
2004-10-01,2.11
2004-11-01,2.01
2004-12-01,1.92
2005-01-01,1.80
2005-02-01,1.65
2005-03-01,1.56
2005-04-01,1.71
2005-05-01,1.87
2005-06-01,1.86
2005-07-01,1.77
2005-08-01,1.70
2005-09-01,1.83
2005-10-01,1.84
2005-11-01,1.85
2005-12-01,1.85
2006-01-01,1.82
2006-02-01,1.70
2006-03-01,1.69
2006-04-01,1.69
2006-05-01,1.64
2006-06-01,1.67
2006-07-01,1.67
2006-08-01,1.71
2006-09-01,1.71
2006-10-01,1.69
2006-11-01,1.60
2006-12-01,1.66
2007-01-01,1.58
2007-02-01,1.56
2007-03-01,1.71
2007-04-01,1.70
2007-05-01,1.64
2007-06-01,1.60
2007-07-01,1.65
2007-08-01,1.98
2007-09-01,2.07
2007-10-01,1.95
2007-11-01,2.25
2007-12-01,2.55
2008-01-01,2.80
2008-02-01,3.08
2008-03-01,3.38
2008-04-01,3.29
2008-05-01,3.05
2008-06-01,2.97
2008-07-01,3.15
2008-08-01,3.26
2008-09-01,3.62
2008-10-01,5.07
2008-11-01,5.68
2008-12-01,6.01
2009-01-01,5.62
2009-02-01,5.21
2009-03-01,5.60
2009-04-01,5.46
2009-05-01,4.77
2009-06-01,3.78
2009-07-01,3.53
2009-08-01,2.99
2009-09-01,2.91
2009-10-01,2.90
2009-11-01,2.92
2009-12-01,2.78
2010-01-01,2.52
2010-02-01,2.65
2010-03-01,2.54
2010-04-01,2.40
2010-05-01,2.63
2010-06-01,3.03
2010-07-01,3.00
2010-08-01,2.96
2010-09-01,3.01
2010-10-01,3.18
2010-11-01,3.16
2010-12-01,2.81
2011-01-01,2.70
2011-02-01,2.57
2011-03-01,2.62
2011-04-01,2.56
2011-05-01,2.61
2011-06-01,2.75
2011-07-01,2.76
2011-08-01,3.06
2011-09-01,3.29
2011-10-01,3.22
2011-11-01,3.13
2011-12-01,3.27
2012-01-01,3.26
2012-02-01,3.17
2012-03-01,3.06
2012-04-01,3.14
2012-05-01,3.27
2012-06-01,3.40
2012-07-01,3.34
2012-08-01,3.23
2012-09-01,3.12
2012-10-01,2.83
2012-11-01,2.86
2012-12-01,2.91
2013-01-01,2.82
2013-02-01,2.87
2013-03-01,2.89
2013-04-01,2.83
2013-05-01,2.80
2013-06-01,2.89
2013-07-01,2.74
2013-08-01,2.68
2013-09-01,2.66
2013-10-01,2.69
2013-11-01,2.66
2013-12-01,2.48
2014-01-01,2.33
2014-02-01,2.39
2014-03-01,2.34
2014-04-01,2.19
2014-05-01,2.20
2014-06-01,2.20
2014-07-01,2.19
2014-08-01,2.27
2014-09-01,2.27
2014-10-01,2.39
2014-11-01,2.46
2014-12-01,2.53
2015-01-01,2.57
2015-02-01,2.53
2015-03-01,2.50
2015-04-01,2.54
2015-05-01,2.69
2015-06-01,2.77
2015-07-01,2.88
2015-08-01,3.02
2015-09-01,3.17
2015-10-01,3.27
2015-11-01,3.20
2015-12-01,3.22
2016-01-01,3.36
2016-02-01,3.56
2016-03-01,3.24
2016-04-01,2.98
2016-05-01,2.87
2016-06-01,2.89
2016-07-01,2.72
2016-08-01,2.68
2016-09-01,2.68
2016-10-01,2.62
2016-11-01,2.57
2016-12-01,2.34
2017-01-01,2.23
2017-02-01,2.22
2017-03-01,2.20
2017-04-01,2.27
2017-05-01,2.25
2017-06-01,2.18
2017-07-01,2.07
2017-08-01,2.1
2017-09-01,2.1
2017-10-01,1.96
2017-11-01,1.92
2017-12-01,1.82
2018-01-01,1.68
2018-02-01,1.65
2018-03-01,1.8
2018-04-01,1.8
2018-05-01,1.85
2018-06-01,1.92
2018-07-01,1.9
2018-08-01,1.88
2018-09-01,1.88
2018-10-01,1.92
2018-11-01,2.1
2018-12-01,2.3
2019-01-01,2.41
2019-02-01,2.27
2019-03-01,2.27
2019-04-01,2.17
2019-05-01,2.23
2019-06-01,2.39
2019-07-01,2.22
2019-08-01,2.24
2019-09-01,2.21
2019-10-01,2.21
2019-11-01,2.13
2019-12-01,2.02
2020-01-01,2.01
2020-02-01,2.11
2020-03-01,3.42
2020-04-01,3.47
2020-05-01,3.28
2020-06-01,2.91
2020-07-01,2.69
2020-08-01,2.62
2020-09-01,2.68
2020-10-01,2.65
2020-11-01,2.43
2020-12-01,2.23
2021-01-01,2.16
2021-02-01,2.16
2021-03-01,2.13
2021-04-01,1.97
2021-05-01,2.0
2021-06-01,1.92
2021-07-01,1.92
2021-08-01,1.96
2021-09-01,1.86
2021-10-01,1.77
2021-11-01,1.72
2021-12-01,1.84
2022-01-01,1.82
2022-02-01,2.04
2022-03-01,2.16
2022-04-01,1.91
2022-05-01,2.22
2022-06-01,2.13
2022-07-01,2.31
2022-08-01,2.25
2022-09-01,2.17
2022-10-01,2.28
2022-11-01,2.18
2022-12-01,1.97
2023-01-01,1.97
2023-02-01,1.84
2023-03-01,2.05
2023-04-01,2.07
2023-05-01,2.2
2023-06-01,2.0
2023-07-01,1.84
2023-08-01,1.85
2023-09-01,1.78
2023-10-01,1.83
