DATE,AAA
1994-02-01,7.08
1994-03-01,7.48
1994-04-01,7.88
1994-05-01,7.99
1994-06-01,7.97
1994-07-01,8.11
1994-08-01,8.07
1994-09-01,8.34
1994-10-01,8.57
1994-11-01,8.68
1994-12-01,8.46
1995-01-01,8.46
1995-02-01,8.26
1995-03-01,8.12
1995-04-01,8.03
1995-05-01,7.65
1995-06-01,7.30
1995-07-01,7.41
1995-08-01,7.57
1995-09-01,7.32
1995-10-01,7.12
1995-11-01,7.02
1995-12-01,6.82
1996-01-01,6.81
1996-02-01,6.99
1996-03-01,7.35
1996-04-01,7.50
1996-05-01,7.62
1996-06-01,7.71
1996-07-01,7.65
1996-08-01,7.46
1996-09-01,7.66
1996-10-01,7.39
1996-11-01,7.10
1996-12-01,7.20
1997-01-01,7.42
1997-02-01,7.31
1997-03-01,7.55
1997-04-01,7.73
1997-05-01,7.58
1997-06-01,7.41
1997-07-01,7.14
1997-08-01,7.22
1997-09-01,7.15
1997-10-01,7.00
1997-11-01,6.87
1997-12-01,6.76
1998-01-01,6.61
1998-02-01,6.67
1998-03-01,6.72
1998-04-01,6.69
1998-05-01,6.69
1998-06-01,6.53
1998-07-01,6.55
1998-08-01,6.52
1998-09-01,6.40
1998-10-01,6.37
1998-11-01,6.41
1998-12-01,6.22
1999-01-01,6.24
1999-02-01,6.40
1999-03-01,6.62
1999-04-01,6.64
1999-05-01,6.93
1999-06-01,7.23
1999-07-01,7.19
1999-08-01,7.40
1999-09-01,7.39
1999-10-01,7.55
1999-11-01,7.36
1999-12-01,7.55
2000-01-01,7.78
2000-02-01,7.68
2000-03-01,7.68
2000-04-01,7.64
2000-05-01,7.99
2000-06-01,7.67
2000-07-01,7.65
2000-08-01,7.55
2000-09-01,7.62
2000-10-01,7.55
2000-11-01,7.45
2000-12-01,7.21
2001-01-01,7.15
2001-02-01,7.10
2001-03-01,6.98
2001-04-01,7.20
2001-05-01,7.29
2001-06-01,7.18
2001-07-01,7.13
2001-08-01,7.02
2001-09-01,7.17
2001-10-01,7.03
2001-11-01,6.97
2001-12-01,6.77
2002-01-01,6.55
2002-02-01,6.51
2002-03-01,6.81
2002-04-01,6.76
2002-05-01,6.75
2002-06-01,6.63
2002-07-01,6.53
2002-08-01,6.37
2002-09-01,6.15
2002-10-01,6.32
2002-11-01,6.31
2002-12-01,6.21
2003-01-01,6.17
2003-02-01,5.95
2003-03-01,5.89
2003-04-01,5.74
2003-05-01,5.22
2003-06-01,4.97
2003-07-01,5.49
2003-08-01,5.88
2003-09-01,5.72
2003-10-01,5.70
2003-11-01,5.65
2003-12-01,5.62
2004-01-01,5.54
2004-02-01,5.50
2004-03-01,5.33
2004-04-01,5.73
2004-05-01,6.04
2004-06-01,6.01
2004-07-01,5.82
2004-08-01,5.65
2004-09-01,5.46
2004-10-01,5.47
2004-11-01,5.52
2004-12-01,5.47
2005-01-01,5.36
2005-02-01,5.20
2005-03-01,5.40
2005-04-01,5.33
2005-05-01,5.15
2005-06-01,4.96
2005-07-01,5.06
2005-08-01,5.09
2005-09-01,5.13
2005-10-01,5.35
2005-11-01,5.42
2005-12-01,5.37
2006-01-01,5.29
2006-02-01,5.35
2006-03-01,5.53
2006-04-01,5.84
2006-05-01,5.95
2006-06-01,5.89
2006-07-01,5.85
2006-08-01,5.68
2006-09-01,5.51
2006-10-01,5.51
2006-11-01,5.33
2006-12-01,5.32
2007-01-01,5.40
2007-02-01,5.39
2007-03-01,5.30
2007-04-01,5.47
2007-05-01,5.47
2007-06-01,5.79
2007-07-01,5.73
2007-08-01,5.79
2007-09-01,5.74
2007-10-01,5.66
2007-11-01,5.44
2007-12-01,5.49
2008-01-01,5.33
2008-02-01,5.53
2008-03-01,5.51
2008-04-01,5.55
2008-05-01,5.57
2008-06-01,5.68
2008-07-01,5.67
2008-08-01,5.64
2008-09-01,5.65
2008-10-01,6.28
2008-11-01,6.12
2008-12-01,5.05
2009-01-01,5.05
2009-02-01,5.27
2009-03-01,5.50
2009-04-01,5.39
2009-05-01,5.54
2009-06-01,5.61
2009-07-01,5.41
2009-08-01,5.26
2009-09-01,5.13
2009-10-01,5.15
2009-11-01,5.19
2009-12-01,5.26
2010-01-01,5.26
2010-02-01,5.35
2010-03-01,5.27
2010-04-01,5.29
2010-05-01,4.96
2010-06-01,4.88
2010-07-01,4.72
2010-08-01,4.49
2010-09-01,4.53
2010-10-01,4.68
2010-11-01,4.87
2010-12-01,5.02
2011-01-01,5.04
2011-02-01,5.22
2011-03-01,5.13
2011-04-01,5.16
2011-05-01,4.96
2011-06-01,4.99
2011-07-01,4.93
2011-08-01,4.37
2011-09-01,4.09
2011-10-01,3.98
2011-11-01,3.87
2011-12-01,3.93
2012-01-01,3.85
2012-02-01,3.85
2012-03-01,3.99
2012-04-01,3.96
2012-05-01,3.80
2012-06-01,3.64
2012-07-01,3.40
2012-08-01,3.48
2012-09-01,3.49
2012-10-01,3.47
2012-11-01,3.50
2012-12-01,3.65
2013-01-01,3.80
2013-02-01,3.90
2013-03-01,3.93
2013-04-01,3.73
2013-05-01,3.89
2013-06-01,4.27
2013-07-01,4.34
2013-08-01,4.54
2013-09-01,4.64
2013-10-01,4.53
2013-11-01,4.63
2013-12-01,4.62
2014-01-01,4.49
2014-02-01,4.45
2014-03-01,4.38
2014-04-01,4.24
2014-05-01,4.16
2014-06-01,4.25
2014-07-01,4.16
2014-08-01,4.08
2014-09-01,4.11
2014-10-01,3.92
2014-11-01,3.92
2014-12-01,3.79
2015-01-01,3.46
2015-02-01,3.61
2015-03-01,3.64
2015-04-01,3.52
2015-05-01,3.98
2015-06-01,4.19
2015-07-01,4.15
2015-08-01,4.04
2015-09-01,4.07
2015-10-01,3.95
2015-11-01,4.06
2015-12-01,3.97
2016-01-01,4.00
2016-02-01,3.96
2016-03-01,3.82
2016-04-01,3.62
2016-05-01,3.65
2016-06-01,3.50
2016-07-01,3.28
2016-08-01,3.32
2016-09-01,3.41
2016-10-01,3.51
2016-11-01,3.86
2016-12-01,4.06
2017-01-01,3.92
2017-02-01,3.95
2017-03-01,4.01
2017-04-01,3.87
2017-05-01,3.85
2017-06-01,3.68
2017-07-01,3.7
2017-08-01,3.63
2017-09-01,3.63
2017-10-01,3.6
2017-11-01,3.57
2017-12-01,3.51
2018-01-01,3.55
2018-02-01,3.82
2018-03-01,3.87
2018-04-01,3.85
2018-05-01,4.0
2018-06-01,3.96
2018-07-01,3.87
2018-08-01,3.88
2018-09-01,3.98
2018-10-01,4.14
2018-11-01,4.22
2018-12-01,4.02
2019-01-01,3.93
2019-02-01,3.79
2019-03-01,3.77
2019-04-01,3.69
2019-05-01,3.67
2019-06-01,3.42
2019-07-01,3.29
2019-08-01,2.98
2019-09-01,3.03
2019-10-01,3.01
2019-11-01,3.06
2019-12-01,3.01
2020-01-01,2.94
2020-02-01,2.78
2020-03-01,3.02
2020-04-01,2.43
2020-05-01,2.5
2020-06-01,2.44
2020-07-01,2.14
2020-08-01,2.25
2020-09-01,2.31
2020-10-01,2.35
2020-11-01,2.3
2020-12-01,2.26
2021-01-01,2.45
2021-02-01,2.7
2021-03-01,3.04
2021-04-01,2.9
2021-05-01,2.96
2021-06-01,2.79
2021-07-01,2.57
2021-08-01,2.55
2021-09-01,2.53
2021-10-01,2.68
2021-11-01,2.62
2021-12-01,2.65
2022-01-01,2.93
2022-02-01,3.25
2022-03-01,3.43
2022-04-01,3.76
2022-05-01,4.13
2022-06-01,4.24
2022-07-01,4.06
2022-08-01,4.07
2022-09-01,4.59
2022-10-01,5.1
2022-11-01,4.9
2022-12-01,4.43
2023-01-01,4.4
2023-02-01,4.56
2023-03-01,4.6
2023-04-01,4.47
2023-05-01,4.67
2023-06-01,4.65
2023-07-01,4.66
2023-08-01,4.95
2023-09-01,5.13
